agricultureStructureIndicator,asOfDate,basementEnclosureCrawlspaceType,policyCount,crsClassificationCode,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,baseFloodElevation,ratedFloodZone,houseWorship,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,primaryResidenceIndicator,buildingDamageAmount,buildingDeductibleCode,netBuildingPaymentAmount,buildingPropertyValue,causeOfDamage,condominiumCoverageTypeCode,contentsDamageAmount,contentsDeductibleCode,netContentsPaymentAmount,contentsPropertyValue,disasterAssistanceCoverageRequired,eventDesignationNumber,ficoNumber,floodCharacteristicsIndicator,floodWaterDuration,floodproofedIndicator,floodEvent,iccCoverage,netIccPaymentAmount,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,nonPaymentReasonContents,nonPaymentReasonBuilding,numberOfUnits,buildingReplacementCost,contentsReplacementCost,replacementCostBasis,stateOwnedIndicator,waterDepth,floodZoneCurrent,buildingDescriptionCode,rentalPropertyIndicator,state,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id,GEOID
0,2019-09-19T13:45:58.425Z,2.0,1,,1981-08-04T00:00:00.000Z,0,,8.0,1065.0,A07,0,,,1073.0,1.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1980-12-30T00:00:00.000Z,178.0,0.0,0.0,0,1,0,17000.0,0.0,1981,0,378.0,,178.0,18000.0,4.0,N,,,0.0,,0.0,,,,0.0,0,,,0.0,315274.0,,,,,1.0,0.0,,R,0,-7.0,,,0,NE,Currently Unavailable,68110.0,31055.0,31055000400.0,310550004001.0,41.3,-95.9,d1e0d355-d34a-4e7a-854f-62dec5757c07,3131055310550004003
0,2019-09-19T13:45:58.425Z,,1,,1983-05-10T00:00:00.000Z,0,1,,,A,0,6.0,,,5.0,0,10.0,1.0,1965-07-01T00:00:00.000Z,1983-02-04T00:00:00.000Z,470.4,0.0,0.0,0,3,0,13300.0,0.0,1983,0,971.0,0,470.4,19600.0,1.0,N,,,0.0,,0.0,,,,0.0,0,,,0.0,310078.0,,,,,1.0,0.0,,A,0,1.0,,,0,NE,Currently Unavailable,68105.0,31055.0,31055003700.0,310550037001.0,41.2,-96.0,4d7f6fb6-c39e-42f3-80fb-1bf0deca8de2,3131055310550037003
0,2019-09-19T13:45:58.425Z,,1,,1981-08-01T00:00:00.000Z,0,,,,B,0,2.0,,,2.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1981-02-14T00:00:00.000Z,543.5,1159.34,0.0,0,1,0,28600.0,5300.0,1981,0,744.0,,543.5,40000.0,1.0,N,1602.0,,1159.34,20000.0,0.0,,,,0.0,0,,,0.0,310069.0,,,,,1.0,0.0,0.0,A,0,1.0,,,0,NE,Currently Unavailable,68025.0,31053.0,31053964300.0,310539643001.0,41.4,-96.5,f7dc5e47-7531-46d9-9336-6232f4874568,3131053310539643003
0,2019-09-19T13:45:58.425Z,,1,,1980-05-19T00:00:00.000Z,0,,,,AO,0,3.0,,,1.0,0,10.0,1.0,1959-07-01T00:00:00.000Z,1979-07-13T00:00:00.000Z,629.87,0.0,0.0,0,1,0,35000.0,0.0,1980,0,830.0,,629.87,6000.0,1.0,N,,,0.0,,0.0,,,,0.0,0,,,0.0,310143.0,,,,,1.0,0.0,,A,0,0.0,,,0,NE,Currently Unavailable,69103.0,31111.0,nan,nan,41.1,-100.8,9dc17eaa-f16c-4899-b94d-a9f8bc7da3ae,
0,2019-09-19T13:45:58.425Z,,1,,1983-06-24T00:00:00.000Z,0,1,,,A,0,3.0,,,1.0,0,10.0,4.0,1973-07-01T00:00:00.000Z,1983-03-10T00:00:00.000Z,630.8,0.0,0.0,0,3,0,7300.0,3400.0,1983,0,1630.0,0,630.8,10700.0,1.0,N,,0,0.0,,0.0,,,,0.0,0,,,0.0,310407.0,,,97.0,,1.0,0.0,,A,0,3.0,,,0,NE,Currently Unavailable,68044.0,nan,nan,nan,,,b0743a08-8d33-4a65-b9d0-0897b213cb52,
0,2019-10-18T20:33:00.300Z,,1,,1979-03-17T00:00:00.000Z,0,,,,,0,3.0,,,1.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1979-02-04T00:00:00.000Z,250.0,0.0,0.0,0,1,0,9000.0,2000.0,1979,0,450.0,,250.0,7900.0,1.0,N,,,0.0,,0.0,,,,0.0,0,,,0.0,310073.0,,,97.0,,1.0,0.0,,A,0,1.0,,,0,NE,Currently Unavailable,68131.0,31055.0,31055004900.0,310550049005.0,41.3,-96.0,5e96c3dc-f243-496f-9a3c-4e0886cee7f2,3131055310550049003
0,2019-09-19T13:45:58.425Z,,1,,1982-02-21T00:00:00.000Z,0,1,,,A,0,3.0,,,1.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1978-05-20T00:00:00.000Z,4089.6,3355.36,0.0,0,3,0,8000.0,5000.0,1982,0,10538.0,,4089.6,12000.0,1.0,N,5961.0,,3355.36,6000.0,0.0,,,,0.0,0,,,0.0,310073.0,,,,,1.0,0.0,0.0,A,0,3.0,,,0,NE,Currently Unavailable,68069.0,31055.0,31055007508.0,310550075082.0,41.3,-96.3,ad6ba540-44ef-482a-b45c-d22087d8ec77,3131055310550075083
0,2019-09-19T06:12:43.388Z,1.0,1,,1984-06-14T00:00:00.000Z,0,,,,A16,0,,,,2.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1984-01-23T00:00:00.000Z,,,,0,1,0,38500.0,0.0,1984,0,,0,0.0,,1.0,N,,,0.0,,0.0,,,,0.0,0,,,0.0,310091.0,,,,1.0,1.0,,,,0,0.0,,,0,NE,Currently Unavailable,68310.0,31067.0,31067964800.0,310679648004.0,40.3,-96.8,6c6f5aeb-45ad-4e6a-b88d-35fdf005fefb,3131067310679648003
0,2019-09-19T13:45:58.425Z,,1,,1984-06-20T00:00:00.000Z,0,1,,,A,0,3.0,,,1.0,0,10.0,1.0,1958-07-01T00:00:00.000Z,1981-02-01T00:00:00.000Z,3024.0,400.0,0.0,0,3,0,19300.0,2600.0,1984,0,3524.0,0,3024.0,22400.0,1.0,N,900.0,0,400.0,4000.0,0.0,,,,0.0,0,,,0.0,310190.0,,,,,1.0,0.0,0.0,A,0,1.0,,,0,NE,Currently Unavailable,,nan,nan,nan,,,22925769-76d9-4600-ae9d-354a984db381,
0,2019-09-19T13:45:58.425Z,,1,,1982-02-21T00:00:00.000Z,0,1,,,A,0,3.0,,,1.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1978-05-15T00:00:00.000Z,989.36,20.0,0.0,0,3,0,9400.0,2100.0,1982,0,1190.0,,989.36,7400.0,1.0,N,285.0,,20.0,2500.0,0.0,,,,0.0,0,,,0.0,310190.0,,,,,1.0,0.0,0.0,A,0,1.0,,,0,NE,Currently Unavailable,68127.0,31055.0,31055007466.0,310550074663.0,41.2,-96.1,41ccf644-e70a-404b-9eac-e490cbb2222a,3131055310550074663
0,2019-09-19T06:12:43.388Z,1.0,1,,1982-02-22T00:00:00.000Z,0,,,,B,0,2.0,,,2.0,0,10.0,1.0,1978-07-01T00:00:00.000Z,1982-02-19T00:00:00.000Z,,,,0,1,0,35000.0,10000.0,1982,0,,,0.0,,1.0,N,,,0.0,,0.0,,,,0.0,0,,,0.0,310190.0,,,1.0,1.0,1.0,,,,0,0.0,,,0,NE,Currently Unavailable,68128.0,31153.0,31153010702.0,311530107023.0,41.1,-96.0,44765489-0b48-4e9a-bd46-a07cd6d4bc1a,3131153311530107023
0,2019-09-19T13:45:58.425Z,,1,,1984-02-13T00:00:00.000Z,0,1,,,A,0,6.0,,,5.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1979-01-23T00:00:00.000Z,1932.0,1224.0,0.0,0,3,0,9700.0,4800.0,1984,0,2432.0,0,1932.0,970000.0,1.0,N,1724.0,0,1224.0,480000.0,0.0,,,,0.0,0,,,0.0,310190.0,,,,,1.0,0.0,0.0,A,0,2.0,,,0,NE,Currently Unavailable,,nan,nan,nan,,,d2b5e526-1664-4bc4-bff9-3c0e08029d6a,
0,2019-09-19T13:45:58.425Z,,1,,1990-06-10T00:00:00.000Z,0,,,,A07,0,3.0,,,1.0,0,10.0,1.0,1945-07-01T00:00:00.000Z,1990-02-12T00:00:00.000Z,799.28,0.0,0.0,0,1,0,6300.0,500.0,1990,0,1300.0,0,799.28,100000.0,4.0,N,,0,0.0,,0.0,,,,0.0,0,,,0.0,310407.0,,,97.0,,1.0,0.0,,A,0,1.0,,,0,NE,Currently Unavailable,68107.0,31055.0,31055006102.0,310550061025.0,41.3,-96.0,2b207e0a-d3b0-40fc-8f31-3664c1fded92,3131055310550061023
0,2019-09-19T13:45:58.425Z,,1,,1983-06-15T00:00:00.000Z,0,1,,,A,0,3.0,,,1.0,0,10.0,1.0,1958-07-01T00:00:00.000Z,1981-02-01T00:00:00.000Z,530.14,0.0,0.0,0,3,0,17500.0,2500.0,1983,0,1500.0,,530.14,17500.0,4.0,N,,,0.0,,0.0,,,,0.0,0,,,0.0,310190.0,,,97.0,,1.0,0.0,,A,0,2.0,,,0,NE,Currently Unavailable,,nan,nan,nan,,,67a797f0-6be2-4cc6-a0de-caf36a3e9f99,
0,2019-09-19T13:45:58.425Z,1.0,1,,1993-07-23T00:00:00.000Z,0,,,,A,0,2.0,,,3.0,0,,1.0,1900-01-01T00:00:00.000Z,1992-05-22T00:00:00.000Z,2627.25,0.0,0.0,0,3,0,19500.0,12800.0,1993,0,3378.0,9,2627.25,30000.0,2.0,N,,9,0.0,,0.0,,958.0,,0.0,0,Midwest Flooding,,0.0,310134.0,,,98.0,,1.0,0.0,,A,0,0.0,,,0,NE,Currently Unavailable,68462.0,31109.0,nan,nan,40.9,-96.5,eb2e192a-1d11-4c24-b8de-1974478e98d9,
0,2019-09-19T13:45:58.425Z,,1,,1982-02-21T00:00:00.000Z,0,,,,A05,0,3.0,,,1.0,0,10.0,1.0,1940-07-01T00:00:00.000Z,1981-03-05T00:00:00.000Z,2266.4,2170.75,0.0,0,1,0,12100.0,5300.0,1982,0,2467.0,,2266.4,16200.0,4.0,N,2371.0,,2170.75,8000.0,0.0,,,,0.0,0,,,0.0,310069.0,,,,,1.0,0.0,0.0,A,0,2.0,,,0,NE,Currently Unavailable,,31053.0,31053964400.0,310539644001.0,41.4,-96.5,6715f557-630b-4eaa-b8ad-b253f3259789,3131053310539644003
